claim,evidence,source,method,assumption,limitation,status,reproducibility,publication_wording
"Source bytes verified","Archive and CSV SHA-256 match pinned values","UCI dataset 222","SHA-256","UCI file remains the referenced artefact","A hash proves identity not truth","SUPPORTED","Hashes emitted in report","Source artefact identity verified"
"Duration is inadmissible pre-contact","Duration concerns the last contact and cannot be known before it","UCI variable documentation","Temporal availability analysis","Task decision moment is before contact","Different post-contact tasks have a different boundary","SUPPORTED","Quality test and audit exclusion","Post-contact call duration excluded from pre-contact modelling"
"Model has retrospective ranking value","Holdout ROC AUC exceeds chance","Generated report","Ordered 80/20 holdout","Record order follows source's date-order description","No prospective validation or transport evidence","SUPPORTED WITH QUALIFICATION","Fixed split and seed","Model discrimination measured on a later ordered holdout"
"Model is suitable for deployment","None","None","Not tested","Would require current representative data and governance","No prospective trial; no lawful/operational controls","NOT SUPPORTED","N/A","Do not claim deployment readiness"
"Contact causes subscription","None","Observational dataset","Causal method absent","Exchangeability and intervention definition unavailable","Confounding and selection unresolved","REJECTED","Causal-request safe-stop test","Do not make a causal claim"
"Analysis authorises action","None","Governance boundary","Explicit approval state","Accountable human authority required","V1 approval has no external execution power","REJECTED","Governance tests","Analysis complete does not mean action authorised"
"Predicted probabilities are prospectively calibrated","Retrospective ECE and reliability bins only","Generated V1.1 report","Equal-width reliability diagnostics","Historical holdout represents future use","Large prevalence shift and high-score bin error remain","NOT SUPPORTED","Calibration diagnostics and regression test","Retrospective calibration limitations exposed"
"One threshold is operationally optimal","Illustrative 1:5 cost sensitivity only","Generated V1.1 report","Eight-threshold consequence table","Real costs, capacity, consent and harm are known","Operational decision criteria are absent","REJECTED","Threshold table sets selected_threshold to null","No operating threshold selected"
"Subgroup diagnostics establish fairness","Descriptive holdout error only","Generated V1.1 report","Age/job/contact subgroup diagnostics","Available fields cover protected and relevant groups","Incomplete proxies; no legal or causal analysis","REJECTED","Minimum group suppression test","Descriptive subgroup stability; no fairness certification"
"Known target proxy is admissible","Proxy duplicates or determines outcome","Hostile fixture","Exact, deterministic and near-perfect proxy checks","Proxy is available and legitimate at decision time","Heuristic cannot replace provenance review","REJECTED","Approval cannot override critical data-quality failure","Suspected target proxy triggers fail-closed review"
